FILE : 
MODEL :  YB_15 FRT
POINT_NUM :  14
        NAME  RUP_O(CH1)  RUP_I(CH2)  RDN_O(CH3)  RDN_I(CH4)    RHD(CH5)   HUB평면도제동면두께 O       DTV_O       DTV_I       ORDER   외측 단차   내측 단차        전장      중심경        Time    Operator
       UPPER       3.000       3.000       3.000       3.000       3.000       3.000      25.000       1.000       1.000       1.000      25.000      50.000      50.000      69.000
       LOWER       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
           1       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    14:35:36     HANYANG
           2       0.026       0.024       0.028       0.028       0.026       0.039      21.962       0.043       0.040       4.238      15.232      36.900      43.940      62.244    14:36:26     HANYANG
           3       0.033       0.033       0.033       0.033       0.033       0.063      21.963       0.064       0.062       2.962      15.233      36.899      43.942      62.244    14:37:48     HANYANG
   
         MAX       0.033       0.033       0.033       0.033       0.033       0.063      21.963       0.064       0.062       4.238      15.233      36.900      43.942      62.244
         MIN       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
         TIR       0.033       0.033       0.033       0.033       0.033       0.063      21.963       0.064       0.062       4.238      15.233      36.900      43.942      62.244
     AVERAGE      62.244      62.244      62.244      62.244      62.244      62.244      62.244      62.244      62.244      62.244      62.244      62.244      62.244      62.244
       SIGMA       0.020       0.019       0.020       0.020       0.020       0.036      14.308       0.037       0.035       2.453       9.924      24.040      28.627      40.551
          Cp       25.48       25.97       24.91       24.91       25.48       13.94        0.29        4.53        4.70        0.07        0.42        0.35        0.29        0.28
         Cpk        0.33        0.33        0.34        0.34        0.33        0.32        0.24        0.32        0.32        0.00        0.34        0.34        0.24        0.23
