[11:06:42] : PROGRAM START
[11:06:45] : AUTO RUNNING OFF
[11:06:45] : REQUEST MEAS. OFF
[11:06:45] : REQUEST ZEROSET OFF
[11:06:45] : REQUEST ZEROSET OFF
[11:06:51] : AUTO RUNNING ON
[11:06:53] : Cycle start ON
[11:06:56] : Cycle start OFF
[11:07:02] : REQUEST MEAS. ON
[11:07:05] : REQUEST MEAS. OFF
[11:08:50] : AUTO RUNNING OFF
[11:08:53] : AUTO RUNNING ON
[11:19:22] : Cycle start ON
[11:19:25] : Cycle start OFF
[11:19:31] : REQUEST MEAS. ON
[11:19:34] : REQUEST MEAS. OFF
[11:21:27] : Cycle start ON
[11:21:29] : Cycle start OFF
[11:21:36] : REQUEST MEAS. ON
[11:21:39] : REQUEST MEAS. OFF
[11:23:25] : Cycle start ON
[11:23:27] : Cycle start OFF
[11:23:34] : REQUEST MEAS. ON
[11:23:37] : REQUEST MEAS. OFF
[11:25:27] : Cycle start ON
[11:25:29] : Cycle start OFF
[11:25:36] : REQUEST MEAS. ON
[11:25:38] : REQUEST MEAS. OFF
[11:27:26] : Cycle start ON
[11:27:28] : Cycle start OFF
[11:27:35] : REQUEST MEAS. ON
[11:27:38] : REQUEST MEAS. OFF
[11:45:49] : Cycle start ON
[11:45:51] : Cycle start OFF
[11:45:57] : REQUEST MEAS. ON
[11:46:00] : REQUEST MEAS. OFF
[11:47:49] : Cycle start ON
[11:47:52] : Cycle start OFF
[11:47:58] : REQUEST MEAS. ON
[11:48:01] : REQUEST MEAS. OFF
[11:49:43] : Cycle start ON
[11:49:46] : Cycle start OFF
[11:49:52] : REQUEST MEAS. ON
[11:49:55] : REQUEST MEAS. OFF
 
[11:51:35] : Cycle start ON
[11:51:37] : Cycle start OFF
[11:51:44] : REQUEST MEAS. ON
[11:51:46] : REQUEST MEAS. OFF
[11:53:32] : Cycle start ON
[11:53:34] : Cycle start OFF
[11:53:41] : REQUEST MEAS. ON
[11:53:44] : REQUEST MEAS. OFF
[11:55:23] : Cycle start ON
[11:55:25] : Cycle start OFF
[11:55:32] : REQUEST MEAS. ON
[11:55:35] : REQUEST MEAS. OFF
[11:57:15] : Cycle start ON
[11:57:17] : Cycle start OFF
[11:57:24] : REQUEST MEAS. ON
[11:57:27] : REQUEST MEAS. OFF
[11:59:06] : Cycle start ON
[11:59:08] : Cycle start OFF
[11:59:15] : REQUEST MEAS. ON
[11:59:18] : REQUEST MEAS. OFF
[12:00:57] : Cycle start ON
[12:00:59] : Cycle start OFF
[12:01:06] : REQUEST MEAS. ON
[12:01:09] : REQUEST MEAS. OFF
[12:02:48] : Cycle start ON
[12:02:50] : Cycle start OFF
[12:02:56] : REQUEST MEAS. ON
[12:02:59] : REQUEST MEAS. OFF
[12:04:39] : Cycle start ON
[12:04:41] : Cycle start OFF
[12:04:48] : REQUEST MEAS. ON
[12:04:50] : REQUEST MEAS. OFF
[12:07:45] : Cycle start ON
[12:07:48] : Cycle start OFF
[12:07:54] : REQUEST MEAS. ON
[12:07:57] : REQUEST MEAS. OFF
[12:09:36] : Cycle start ON
[12:09:38] : Cycle start OFF
[12:09:45] : REQUEST MEAS. ON
[12:09:48] : REQUEST MEAS. OFF
[12:11:27] : Cycle start ON
[12:11:29] : Cycle start OFF
[12:11:36] : REQUEST MEAS. ON
[12:11:39] : REQUEST MEAS. OFF
[12:13:18] : Cycle start ON
[12:13:20] : Cycle start OFF
[12:13:27] : REQUEST MEAS. ON
[12:13:30] : REQUEST MEAS. OFF
[12:24:08] : Cycle start ON
[12:24:11] : Cycle start OFF
[12:24:17] : REQUEST MEAS. ON
[12:24:20] : REQUEST MEAS. OFF
[12:32:24] : Cycle start ON
[12:32:27] : Cycle start OFF
[12:32:33] : REQUEST MEAS. ON
[12:32:36] : REQUEST MEAS. OFF
[12:34:34] : Cycle start ON
[12:34:36] : Cycle start OFF
[12:34:43] : REQUEST MEAS. ON
[12:34:45] : REQUEST MEAS. OFF
 
