[09:07:49] : PROGRAM START
[09:07:53] : AUTO RUNNING OFF
[09:07:53] : REQUEST MEAS. OFF
[09:07:53] : REQUEST ZEROSET OFF
[09:07:53] : REQUEST ZEROSET OFF
[09:19:42] : PROGRAM END
 
[09:21:36] : PROGRAM START
[09:21:40] : AUTO RUNNING OFF
[09:21:40] : REQUEST MEAS. OFF
[09:21:40] : REQUEST ZEROSET OFF
[09:21:40] : REQUEST ZEROSET OFF
[09:21:55] : PROGRAM END
 
[09:22:02] : PROGRAM START
[09:22:05] : AUTO RUNNING OFF
[09:22:05] : REQUEST MEAS. OFF
[09:22:05] : REQUEST ZEROSET OFF
[09:22:05] : REQUEST ZEROSET OFF
[09:30:13] : Cycle start ON
[09:30:14] : Cycle start OFF
[09:30:22] : REQUEST ZEROSET ON
[09:30:25] : REQUEST ZEROSET OFF
[09:30:40] : Cycle start ON
[09:30:43] : Cycle start OFF
[09:30:51] : REQUEST MEAS. ON
[09:30:54] : REQUEST MEAS. OFF
[09:39:03] : Cycle start ON
[09:39:05] : Cycle start OFF
[09:39:13] : REQUEST MEAS. ON
[09:39:16] : REQUEST MEAS. OFF
[09:43:29] : Cycle start ON
[09:43:32] : Cycle start OFF
[09:43:39] : REQUEST MEAS. ON
[09:43:42] : REQUEST MEAS. OFF
[09:49:47] : Cycle start ON
[09:49:50] : Cycle start OFF
[09:49:57] : REQUEST MEAS. ON
[09:50:00] : REQUEST MEAS. OFF
[09:50:20] : Cycle start ON
[09:50:22] : Cycle start OFF
[09:50:30] : REQUEST MEAS. ON
[09:50:33] : REQUEST MEAS. OFF
[09:50:50] : Cycle start ON
[09:50:53] : Cycle start OFF
[09:51:00] : REQUEST MEAS. ON
[09:51:03] : REQUEST MEAS. OFF
[09:51:54] : Cycle start ON
[09:51:57] : Cycle start OFF
[09:52:04] : REQUEST MEAS. ON
[09:52:07] : REQUEST MEAS. OFF
[09:52:25] : Cycle start ON
[09:52:28] : Cycle start OFF
[09:52:35] : REQUEST MEAS. ON
[09:52:38] : REQUEST MEAS. OFF
[09:52:59] : Cycle start ON
[09:53:01] : Cycle start OFF
[09:53:09] : REQUEST MEAS. ON
[09:53:12] : REQUEST MEAS. OFF
[09:53:32] : Cycle start ON
[09:53:35] : Cycle start OFF
[09:53:42] : REQUEST MEAS. ON
[09:53:45] : REQUEST MEAS. OFF
[09:54:23] : MEAS ESC ON
[09:54:23] : M3414 :	제품 이종 알람 ON
[09:54:32] : MEAS ESC OFF
[09:54:32] : RESET ON
[09:54:32] : M3414 :	제품 이종 알람 OFF
[09:54:39] : MEAS ESC ON
[09:54:39] : M3413 :	DOOR OPEN중 ON
[09:54:45] : RESET ON
[09:54:45] : M3413 :	DOOR OPEN중 OFF
[09:54:45] : MEAS ESC OFF
[10:30:47] : AUTO RUNNING ON
[10:52:49] : Cycle start ON
[10:52:52] : Cycle start OFF
[10:52:59] : REQUEST MEAS. ON
[10:53:02] : REQUEST MEAS. OFF
[10:54:42] : Cycle start ON
[10:54:44] : Cycle start OFF
[10:54:52] : REQUEST MEAS. ON
[10:54:55] : REQUEST MEAS. OFF
[10:56:30] : Cycle start ON
[10:56:32] : Cycle start OFF
[10:56:40] : REQUEST MEAS. ON
[10:56:43] : REQUEST MEAS. OFF
[11:03:07] : AUTO RUNNING OFF
[11:07:49] : AUTO RUNNING ON
[11:08:03] : Cycle start ON
[11:08:06] : Cycle start OFF
[11:08:13] : REQUEST MEAS. ON
[11:08:16] : REQUEST MEAS. OFF
 
[11:50:18] : Cycle start ON
[11:50:20] : Cycle start OFF
[11:50:28] : REQUEST MEAS. ON
