[09:29:39] : MEAS ESC OFF
[09:29:39] : RESET ON
[09:29:39] : M3400 : 비상입니다. OFF
[09:29:39] : M3401 : MAIN AIR ALARM OFF
[09:30:36] : REQUEST MEAS. ON
[09:30:37] : REQUEST MEAS. OFF
[09:30:51] : REQUEST MEAS. ON
[09:30:52] : REQUEST MEAS. OFF
[09:31:06] : REQUEST MEAS. ON
[09:31:07] : REQUEST MEAS. OFF
[09:31:20] : REQUEST MEAS. ON
[09:31:21] : REQUEST MEAS. OFF
[09:31:35] : REQUEST MEAS. ON
[09:31:36] : REQUEST MEAS. OFF
[09:31:49] : REQUEST MEAS. ON
[09:31:50] : REQUEST MEAS. OFF
[09:32:04] : REQUEST MEAS. ON
[09:32:05] : REQUEST MEAS. OFF
[09:32:18] : REQUEST MEAS. ON
[09:32:19] : REQUEST MEAS. OFF
[09:32:32] : REQUEST MEAS. ON
[09:32:33] : REQUEST MEAS. OFF
[09:32:47] : REQUEST MEAS. ON
[09:32:48] : REQUEST MEAS. OFF
[09:33:01] : REQUEST MEAS. ON
[09:33:02] : REQUEST MEAS. OFF
[09:33:16] : REQUEST MEAS. ON
[09:33:17] : REQUEST MEAS. OFF
[09:33:30] : REQUEST MEAS. ON
[09:33:31] : REQUEST MEAS. OFF
[09:33:45] : REQUEST MEAS. ON
[09:33:46] : REQUEST MEAS. OFF
[09:33:59] : REQUEST MEAS. ON
[09:34:00] : REQUEST MEAS. OFF
[09:34:14] : REQUEST MEAS. ON
[09:34:15] : REQUEST MEAS. OFF
[09:34:28] : REQUEST MEAS. ON
[09:34:29] : REQUEST MEAS. OFF
[09:34:43] : REQUEST MEAS. ON
[09:34:44] : REQUEST MEAS. OFF
[09:34:57] : REQUEST MEAS. ON
[09:34:58] : REQUEST MEAS. OFF
[09:35:12] : REQUEST MEAS. ON
[09:35:13] : REQUEST MEAS. OFF
[09:42:41] : REQUEST MEAS. ON
[09:42:42] : REQUEST MEAS. OFF
[09:42:56] : REQUEST MEAS. ON
[09:42:57] : REQUEST MEAS. OFF
[09:43:10] : REQUEST MEAS. ON
[09:43:11] : REQUEST MEAS. OFF
[09:43:24] : REQUEST MEAS. ON
[09:43:25] : REQUEST MEAS. OFF
[09:43:39] : REQUEST MEAS. ON
[09:43:40] : REQUEST MEAS. OFF
[09:43:53] : REQUEST MEAS. ON
[09:43:54] : REQUEST MEAS. OFF
[09:44:08] : REQUEST MEAS. ON
[09:44:09] : REQUEST MEAS. OFF
[09:44:22] : REQUEST MEAS. ON
[09:44:23] : REQUEST MEAS. OFF
[09:44:37] : REQUEST MEAS. ON
[09:44:38] : REQUEST MEAS. OFF
[09:44:51] : REQUEST MEAS. ON
[09:44:52] : REQUEST MEAS. OFF
[09:45:06] : REQUEST MEAS. ON
[09:45:07] : REQUEST MEAS. OFF
[09:46:35] : REQUEST MEAS. ON
[09:46:36] : REQUEST MEAS. OFF
[09:46:50] : REQUEST MEAS. ON
[09:46:51] : REQUEST MEAS. OFF
[09:47:04] : REQUEST MEAS. ON
[09:47:05] : REQUEST MEAS. OFF
[09:47:19] : REQUEST MEAS. ON
[09:47:20] : REQUEST MEAS. OFF
[09:47:33] : REQUEST MEAS. ON
[09:47:34] : REQUEST MEAS. OFF
[09:47:48] : REQUEST MEAS. ON
[09:47:49] : REQUEST MEAS. OFF
[09:48:02] : REQUEST MEAS. ON
[09:48:03] : REQUEST MEAS. OFF
[09:48:17] : REQUEST MEAS. ON
[09:48:18] : REQUEST MEAS. OFF
[09:49:17] : REQUEST MEAS. ON
[09:49:18] : REQUEST MEAS. OFF
[09:49:32] : REQUEST MEAS. ON
[09:49:33] : REQUEST MEAS. OFF
[09:49:46] : REQUEST MEAS. ON
[09:49:47] : REQUEST MEAS. OFF
[09:50:01] : REQUEST MEAS. ON
[09:50:02] : REQUEST MEAS. OFF
[09:50:15] : REQUEST MEAS. ON
[09:50:16] : REQUEST MEAS. OFF
[09:50:30] : REQUEST MEAS. ON
[09:50:31] : REQUEST MEAS. OFF
[09:50:44] : REQUEST MEAS. ON
[09:50:45] : REQUEST MEAS. OFF
[09:51:39] : REQUEST MEAS. ON
[09:51:40] : REQUEST MEAS. OFF
[09:51:54] : REQUEST MEAS. ON
[09:51:55] : REQUEST MEAS. OFF
[09:52:08] : REQUEST MEAS. ON
[09:52:09] : REQUEST MEAS. OFF
[09:52:23] : REQUEST MEAS. ON
[09:52:24] : REQUEST MEAS. OFF
[09:52:37] : REQUEST MEAS. ON
[09:52:38] : REQUEST MEAS. OFF
[09:52:52] : REQUEST MEAS. ON
[09:52:53] : REQUEST MEAS. OFF
[09:53:06] : REQUEST MEAS. ON
[09:53:07] : REQUEST MEAS. OFF
[09:53:21] : REQUEST MEAS. ON
[09:53:22] : REQUEST MEAS. OFF
[09:54:03] : REQUEST MEAS. ON
[09:54:04] : REQUEST MEAS. OFF
[09:54:18] : REQUEST MEAS. ON
[09:54:19] : REQUEST MEAS. OFF
[09:54:32] : REQUEST MEAS. ON
[09:54:33] : REQUEST MEAS. OFF
[09:54:47] : REQUEST MEAS. ON
[09:54:48] : REQUEST MEAS. OFF
[09:55:02] : REQUEST MEAS. ON
[09:55:03] : REQUEST MEAS. OFF
[09:55:17] : REQUEST MEAS. ON
[09:55:18] : REQUEST MEAS. OFF
[09:55:32] : REQUEST MEAS. ON
[09:55:33] : REQUEST MEAS. OFF
[09:55:47] : REQUEST MEAS. ON
[09:55:48] : REQUEST MEAS. OFF
[09:56:08] : REQUEST MEAS. ON
[09:56:09] : REQUEST MEAS. OFF
[09:56:23] : REQUEST MEAS. ON
