[08:08:17] : RESET ON
[08:08:18] : RESET ON
[08:08:38] : MEAS ESC ON
[08:08:38] : M3400 : 비상입니다. ON
[08:08:46] : MEAS ESC OFF
[08:08:46] : RESET ON
[08:08:46] : M3400 : 비상입니다. OFF
[08:08:46] : RESET ON
[08:09:17] : REQUEST MEAS. ON
[08:09:18] : REQUEST MEAS. OFF
[08:09:33] : REQUEST MEAS. ON
[08:09:34] : REQUEST MEAS. OFF
[08:09:52] : REQUEST MEAS. ON
[08:09:53] : REQUEST MEAS. OFF
[08:10:05] : REQUEST MEAS. ON
[08:10:07] : REQUEST MEAS. OFF
[08:10:18] : REQUEST MEAS. ON
[08:10:19] : REQUEST MEAS. OFF
[08:10:31] : REQUEST MEAS. ON
[08:10:32] : REQUEST MEAS. OFF
[08:10:45] : REQUEST MEAS. ON
[08:10:46] : REQUEST MEAS. OFF
[08:10:58] : REQUEST MEAS. ON
[08:11:00] : REQUEST MEAS. OFF
[08:11:11] : REQUEST MEAS. ON
[08:11:12] : REQUEST MEAS. OFF
[08:11:24] : REQUEST MEAS. ON
[08:11:25] : REQUEST MEAS. OFF
[08:11:37] : REQUEST MEAS. ON
[08:11:38] : REQUEST MEAS. OFF
[08:11:50] : REQUEST MEAS. ON
[08:11:51] : REQUEST MEAS. OFF
[08:12:03] : REQUEST MEAS. ON
[08:12:05] : REQUEST MEAS. OFF
[08:12:18] : REQUEST MEAS. ON
[08:12:19] : REQUEST MEAS. OFF
[08:12:30] : REQUEST MEAS. ON
[08:12:31] : REQUEST MEAS. OFF
[08:12:44] : REQUEST MEAS. ON
[08:12:45] : REQUEST MEAS. OFF
[08:12:56] : REQUEST MEAS. ON
[08:12:57] : REQUEST MEAS. OFF
[08:13:09] : REQUEST MEAS. ON
[08:13:10] : REQUEST MEAS. OFF
[08:13:23] : REQUEST MEAS. ON
[08:13:24] : REQUEST MEAS. OFF
[08:13:36] : REQUEST MEAS. ON
[08:13:37] : REQUEST MEAS. OFF
[08:13:49] : REQUEST MEAS. ON
[08:13:51] : REQUEST MEAS. OFF
[08:14:02] : REQUEST MEAS. ON
[08:14:04] : REQUEST MEAS. OFF
[08:14:15] : REQUEST MEAS. ON
[08:14:16] : REQUEST MEAS. OFF
[08:14:28] : REQUEST MEAS. ON
[08:14:29] : REQUEST MEAS. OFF
[08:14:42] : REQUEST MEAS. ON
[08:14:44] : REQUEST MEAS. OFF
[08:14:55] : REQUEST MEAS. ON
[08:14:56] : REQUEST MEAS. OFF
[08:15:08] : REQUEST MEAS. ON
[08:15:09] : REQUEST MEAS. OFF
[08:15:21] : REQUEST MEAS. ON
[08:15:23] : REQUEST MEAS. OFF
[08:15:34] : REQUEST MEAS. ON
[08:15:36] : REQUEST MEAS. OFF
[08:15:47] : REQUEST MEAS. ON
[08:15:49] : REQUEST MEAS. OFF
[08:16:02] : REQUEST MEAS. ON
[08:16:03] : REQUEST MEAS. OFF
[08:16:14] : REQUEST MEAS. ON
[08:16:16] : REQUEST MEAS. OFF
[08:16:27] : REQUEST MEAS. ON
[08:16:28] : REQUEST MEAS. OFF
[08:16:41] : REQUEST MEAS. ON
[08:16:42] : REQUEST MEAS. OFF
[08:16:54] : REQUEST MEAS. ON
[08:16:56] : REQUEST MEAS. OFF
[08:17:07] : REQUEST MEAS. ON
[08:17:08] : REQUEST MEAS. OFF
[08:17:20] : REQUEST MEAS. ON
[08:17:22] : REQUEST MEAS. OFF
[08:17:33] : REQUEST MEAS. ON
[08:17:35] : REQUEST MEAS. OFF
