[16:02:04] : PROGRAM START
[16:02:10] : Plc Error Timer
[16:02:16] : Plc Error Timer
[16:02:22] : Plc Error Timer
[16:02:28] : Plc Error Timer
[16:02:34] : Plc Error Timer
[16:02:41] : PROGRAM END
 
[18:02:20] : PROGRAM START
[18:02:27] : Plc Error Timer
[18:02:33] : Plc Error Timer
[18:02:39] : Plc Error Timer
[18:02:45] : Plc Error Timer
[18:02:51] : Plc Error Timer
[18:02:57] : Plc Error Timer
[18:03:03] : Plc Error Timer
[18:03:09] : PROGRAM END
 
[18:03:53] : PROGRAM START
[18:04:00] : Plc Error Timer
[18:04:06] : Plc Error Timer
[18:04:12] : Plc Error Timer
[18:04:17] : PROGRAM END
 
[18:11:52] : PROGRAM START
[18:11:58] : Plc Error Timer
[18:12:04] : Plc Error Timer
[18:12:10] : Plc Error Timer
[18:12:16] : Plc Error Timer
[18:12:22] : Plc Error Timer
[18:12:28] : Plc Error Timer
[18:12:34] : Plc Error Timer
[18:12:40] : Plc Error Timer
[18:12:46] : Plc Error Timer
[18:12:52] : Plc Error Timer
[18:12:59] : Plc Error Timer
[18:13:05] : Plc Error Timer
[18:13:11] : Plc Error Timer
[18:13:17] : Plc Error Timer
[18:13:23] : Plc Error Timer
[18:13:29] : Plc Error Timer
[18:13:35] : Plc Error Timer
[18:13:41] : Plc Error Timer
[18:13:47] : Plc Error Timer
[18:13:53] : Plc Error Timer
[18:14:00] : Plc Error Timer
[18:14:06] : Plc Error Timer
[18:14:12] : Plc Error Timer
[18:14:18] : Plc Error Timer
[18:14:24] : Plc Error Timer
[18:14:30] : Plc Error Timer
[18:14:36] : Plc Error Timer
[18:14:42] : Plc Error Timer
[18:14:48] : Plc Error Timer
[18:14:54] : Plc Error Timer
[18:15:01] : Plc Error Timer
[18:15:07] : Plc Error Timer
[18:15:13] : Plc Error Timer
[18:15:19] : Plc Error Timer
[18:15:25] : Plc Error Timer
[18:15:31] : Plc Error Timer
[18:15:37] : Plc Error Timer
[18:15:43] : Plc Error Timer
[18:15:49] : PROGRAM END
 
[18:16:17] : PROGRAM START
[18:16:24] : Plc Error Timer
[18:16:30] : Plc Error Timer
[18:16:36] : Plc Error Timer
[18:16:42] : Plc Error Timer
[18:16:46] : PROGRAM END
 
[18:50:21] : PROGRAM START
[18:50:28] : Plc Error Timer
[18:50:34] : Plc Error Timer
[18:50:40] : Plc Error Timer
[18:50:46] : Plc Error Timer
[18:50:52] : Plc Error Timer
[18:50:58] : Plc Error Timer
[18:51:04] : Plc Error Timer
[18:51:10] : Plc Error Timer
[18:51:16] : Plc Error Timer
[18:51:22] : Plc Error Timer
[18:51:29] : Plc Error Timer
[18:51:35] : Plc Error Timer
[18:51:41] : Plc Error Timer
[18:51:47] : Plc Error Timer
[18:51:53] : Plc Error Timer
[18:51:59] : Plc Error Timer
[18:52:05] : Plc Error Timer
[18:52:11] : Plc Error Timer
[18:52:17] : Plc Error Timer
[18:52:23] : Plc Error Timer
[18:52:30] : Plc Error Timer
[18:52:36] : Plc Error Timer
[18:52:42] : Plc Error Timer
[18:52:48] : Plc Error Timer
[18:52:54] : Plc Error Timer
[18:53:00] : Plc Error Timer
[18:53:06] : Plc Error Timer
[18:53:12] : Plc Error Timer
[18:53:18] : Plc Error Timer
[18:53:24] : Plc Error Timer
